FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
ДВФО;Амурская область;3;782;71;7;20;0;111;3;10;0;1;10;12;69;6;123;69;36;1;0;0;91;67;14;0;4;44;5;19;313
ДВФО;Амурская область;4;20;0;0;0;0;2;0;0;0;0;0;0;2;0;1;1;0;0;0;0;7;5;2;0;0;1;0;1;8
ДВФО;Амурская область;5;12;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;3;3;0;0;0;1;0;1;5
ДВФО;Амурская область;6;53;4;0;0;0;9;0;0;0;0;0;2;6;1;9;6;1;0;0;0;8;6;2;0;0;1;0;1;21
ДВФО;Амурская область;7;35;3;0;0;0;6;0;0;0;0;0;2;3;1;9;6;1;0;0;0;2;2;0;0;0;1;0;1;13
ДВФО;Амурская область;8;80;13;0;4;0;12;0;2;0;0;0;2;8;0;8;6;0;0;0;0;16;12;1;0;0;4;0;3;24
ДВФО;Амурская область;9;54;8;0;1;0;5;0;1;0;0;0;2;2;0;7;5;0;0;0;0;9;6;0;0;0;4;0;3;18
ДВФО;Амурская область;10;77;10;0;4;0;12;0;1;0;0;1;0;10;0;13;6;4;0;0;0;9;8;0;0;0;5;0;4;24
ДВФО;Амурская область;11;59;10;0;4;0;5;0;1;0;0;1;0;3;0;10;4;3;0;0;0;7;6;0;0;0;5;0;4;18
ДВФО;Амурская область;12;77;8;1;3;0;12;2;0;0;0;1;1;6;2;18;9;6;0;0;0;5;4;0;0;1;5;0;0;28
ДВФО;Амурская область;13;60;7;1;3;0;7;2;0;0;0;1;1;2;1;15;8;4;0;0;0;3;2;0;0;0;5;0;0;23
ДВФО;Амурская область;14;96;8;2;1;0;11;0;1;0;0;0;3;5;2;18;8;7;0;0;0;7;5;1;0;1;6;0;2;43
ДВФО;Амурская область;15;72;7;2;1;0;9;0;1;0;0;0;2;4;2;14;8;5;0;0;0;7;5;1;0;1;6;0;2;26
ДВФО;Амурская область;16;113;13;1;4;0;15;1;1;0;0;2;1;10;0;20;15;3;1;0;0;5;4;0;0;0;9;0;3;47
ДВФО;Амурская область;17;89;9;0;2;0;14;1;1;0;0;1;1;10;0;16;13;1;0;0;0;4;3;0;0;0;8;0;2;36
ДВФО;Амурская область;18;93;5;0;1;0;13;0;2;0;0;1;2;7;1;20;8;10;0;0;0;9;4;3;0;1;4;0;1;40
ДВФО;Амурская область;19;59;4;0;1;0;8;0;2;0;0;1;1;3;1;11;7;4;0;0;0;4;2;0;0;1;4;0;1;26
ДВФО;Амурская область;20;98;7;2;2;0;13;0;1;0;1;0;0;11;0;9;6;3;0;0;0;12;8;3;0;1;6;0;2;48
ДВФО;Амурская область;21;56;6;2;1;0;5;0;1;0;0;0;0;4;0;4;4;0;0;0;0;3;2;0;0;0;1;0;2;35
ДВФО;Амурская область;22;75;3;1;1;0;12;0;2;0;0;5;1;4;0;7;4;2;0;0;0;13;11;2;0;0;3;5;2;30
ДВФО;Амурская область;23;35;2;0;1;0;4;0;1;0;0;2;0;1;0;2;0;2;0;0;0;3;3;0;0;0;3;0;1;20
ДВФО;Еврейская автономная область;3;50;9;5;3;0;27;0;4;0;0;1;15;5;2;0;0;0;0;0;0;0;0;0;0;0;12;0;1;1
ДВФО;Еврейская автономная область;4;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
ДВФО;Еврейская автономная область;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
ДВФО;Еврейская автономная область;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0
ДВФО;Еврейская автономная область;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0
ДВФО;Еврейская автономная область;10;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;11;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;12;11;2;1;1;0;6;0;2;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1
ДВФО;Еврейская автономная область;13;11;2;1;1;0;6;0;2;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1
ДВФО;Еврейская автономная область;14;12;5;4;1;0;6;0;1;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
ДВФО;Еврейская автономная область;15;9;4;3;1;0;4;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
ДВФО;Еврейская автономная область;16;7;1;0;1;0;3;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
ДВФО;Еврейская автономная область;17;4;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
ДВФО;Еврейская автономная область;18;4;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
ДВФО;Еврейская автономная область;19;4;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
ДВФО;Еврейская автономная область;20;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;21;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;22;7;1;0;0;0;5;0;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
ДВФО;Еврейская автономная область;23;5;0;0;0;0;4;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
ДВФО;Забайкальский край;3;1006;61;11;31;4;331;6;42;0;13;92;18;69;91;85;55;14;0;0;0;141;126;14;1;21;60;70;80;156
ДВФО;Забайкальский край;4;45;0;0;0;0;9;0;0;0;0;0;0;8;1;2;0;1;0;0;0;4;3;1;0;3;1;12;7;7
ДВФО;Забайкальский край;5;42;0;0;0;0;9;0;0;0;0;0;0;8;1;2;0;1;0;0;0;4;3;1;0;2;1;12;6;6
ДВФО;Забайкальский край;6;93;1;0;0;0;28;0;0;0;0;0;2;8;18;7;3;2;0;0;0;8;7;1;0;5;4;12;12;16
