FO_name;Subj_Name;Col_num;1;2
ДВФО;Амурская область;3;30;9
ДВФО;Еврейская автономная область;3;33;22
ДВФО;Забайкальский край;3;116;29
ДВФО;Камчатский край;3;58;71
ДВФО;Магаданская область;3;15;15
ДВФО;Приморский край;3;221;157
ДВФО;Республика Бурятия;3;36;6
ДВФО;Республика Саха (Якутия);3;179;100
ДВФО;Сахалинская область;3;59;21
ДВФО;Хабаровский край;3;129;80
ДВФО;Чукотский автономный округ;3;3;8
ПФО;Кировская область;3;89;34
ПФО;Нижегородская область;3;306;305
ПФО;Оренбургская область;3;386;328
ПФО;Пензенская область;3;75;121
ПФО;Пермский край;3;344;221
ПФО;Республика Башкортостан;3;266;124
ПФО;Республика Марий Эл;3;52;31
ПФО;Республика Мордовия;3;312;173
ПФО;Республика Татарстан;3;729;294
ПФО;Самарская область;3;385;256
ПФО;Саратовская область;3;133;237
ПФО;Удмуртская Республика;3;100;195
ПФО;Ульяновская область;3;186;152
ПФО;Чувашская Республика — Чувашия;3;70;95
СЗФО;Архангельская область;3;401;129
СЗФО;Вологодская область;3;177;100
СЗФО;Калининградская область;3;166;125
СЗФО;Ленинградская область;3;75;115
СЗФО;Мурманская область;3;62;25
СЗФО;Ненецкий автономный округ;3;1;0
СЗФО;Новгородская область;3;26;100
СЗФО;Псковская область;3;23;34
СЗФО;Республика Карелия;3;234;16
СЗФО;Республика Коми;3;33;46
СЗФО;Санкт-Петербург;3;899;1061
СКФО;Кабардино-Балкарская Республика;3;19;192
СКФО;Карачаево-Черкесская Республика;3;30;0
СКФО;Республика Дагестан;3;104;42
СКФО;Республика Ингушетия;3;7;29
СКФО;Республика Северная Осетия — Алания;3;29;160
СКФО;Ставропольский край;3;237;851
СКФО;Чеченская Республика;3;40;27
СФО;Алтайский край;3;331;807
СФО;Иркутская область;3;416;392
СФО;Кемеровская область;3;468;289
СФО;Красноярский край;3;194;574
СФО;Новосибирская область;3;180;550
СФО;Омская область;3;293;198
СФО;Республика Алтай;3;37;72
СФО;Республика Тыва;3;169;36
СФО;Республика Хакасия;3;54;27
СФО;Томская область;3;417;119
УФО;Курганская область;3;294;28
УФО;Свердловская область;3;658;509
УФО;Тюменская область;3;244;88
УФО;Ханты-Мансийский автономный округ — Югра;3;118;19
УФО;Челябинская область;3;543;473
УФО;Ямало-Ненецкий автономный округ;3;28;34
ЦФО;Белгородская область;3;147;180
ЦФО;Брянская область;3;211;161
ЦФО;Владимирская область;3;4;16
ЦФО;Воронежская область;3;607;80
ЦФО;Ивановская область;3;50;70
ЦФО;Калужская область;3;138;52
ЦФО;Костромская область;3;52;57
ЦФО;Курская область;3;178;28
ЦФО;Липецкая область;3;201;47
ЦФО;Москва;3;3041;1668
ЦФО;Московская область;3;454;365
ЦФО;Орловская область;3;243;35
ЦФО;Рязанская область;3;49;11
ЦФО;Смоленская область;3;59;25
ЦФО;Тамбовская область;3;92;42
ЦФО;Тверская область;3;101;90
ЦФО;Тульская область;3;35;18
ЦФО;Ярославская область;3;90;8
ЮФО;Астраханская область;3;16;202
ЮФО;Волгоградская область;3;352;276
ЮФО;Краснодарский край;3;936;597
ЮФО;Республика Адыгея;3;7;7
ЮФО;Республика Калмыкия;3;150;21
ЮФО;Республика Крым;3;196;199
ЮФО;Ростовская область;3;438;493
ЮФО;Севастополь;3;21;3
