FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
ПФО;Кировская область;3;237363,1;152017,9;127612,2;2680,1;21725,6;74642,4;1483,8;943,5;12769,8;7635,9;14465;37344,4;1733,7;8969,1;11023,7;5838,6;0;0;5185,1;3;16254,9
ПФО;Кировская область;4;120084,1;90677,8;79482,5;2306,8;8888,5;27039,4;709,2;176,1;6667,4;0;9501,5;9985,2;1633,1;733,8;6942,9;4179,2;0;0;2763,7;;
ПФО;Кировская область;5;15067,5;11954,1;9136,8;14;2803,3;2821,5;336,4;50,1;783,6;0;448,8;1202,6;0;291,9;33,2;0;0;0;33,2;;
ПФО;Нижегородская область;3;644179,1;497710;384254,8;4528,6;108926,6;114019,2;4267,5;827,5;34868,4;2831,6;18197;53027,2;37,8;32412,1;29910,9;11455,5;254;0;18201,4;6;139050,4
ПФО;Нижегородская область;4;335865,6;262549,5;202497,8;525,3;59526,4;61193,9;2468,1;73,6;23476,2;151,8;7730,8;27293,4;26,2;12096;10002,8;5640;0;0;4362,8;;
ПФО;Нижегородская область;5;328486,4;260380,8;200706,2;525,3;59149,3;57068,5;2425,8;73,6;22122,9;140;7180,8;25125,4;26,2;11010,9;8989,5;4789,3;0;0;4200,2;;
ПФО;Оренбургская область;3;278385,3;149658,6;114996,5;2972;31690,1;81378;2552,3;1540,3;7254,6;20633,4;4265,2;45132,2;1491,8;45856,9;5128;1129;0;0;3999;2;749,5
ПФО;Оренбургская область;4;38071;25823,6;19443,4;0;6380,2;11920;371,7;225,9;695,4;1690,4;0;8936,6;0;327,4;407;0;0;0;407;;
ПФО;Оренбургская область;5;8339,8;5194,9;3918,2;0;1276,7;3093,4;49;0;695,4;0;0;2349;0;51,5;407;0;0;0;407;;
ПФО;Пензенская область;3;413641,9;239021;189103,2;2813,1;47104,7;124840,8;4158,7;2646,3;17651,8;14870,9;11640,9;73872,2;1389,4;48390,7;22774,3;12065,6;0;0;10708,7;2;3291
ПФО;Пензенская область;4;224361,6;144369,7;115321,4;1124,5;27923,8;70840,4;1685,7;248,6;9848,3;269,1;6355,7;52433;565,5;8586;12614,8;8936,3;0;0;3678,5;;
ПФО;Пензенская область;5;148184,4;107412,4;82406;443,9;24562,5;38361,5;990;56,1;9051,9;0;1958;26305,5;0;2410,5;3238,9;1315;0;0;1923,9;;
ПФО;Пермский край;3;859753,4;416622,9;325917,4;8092,2;82613,3;325143,9;11379,6;11455,4;8264;76860,7;17710;199474,2;3128,8;114857,8;6729,5;3419,5;0;0;3310;6;0
ПФО;Пермский край;4;83363,3;68737,4;53331,9;347,6;15057,9;13243,9;701,1;630,2;1927,1;1185,8;4495,1;4304,6;45,1;1336,9;3588,8;1617,3;0;0;1971,5;;
ПФО;Пермский край;5;48494;41982,7;32064,1;148,4;9770,2;6316,8;344,8;49,3;1389,3;0;2296,7;2236,7;12,2;182,3;2644,4;988,4;0;0;1656;;
ПФО;Республика Башкортостан;3;429233;295591,8;236077;2788,4;56726,4;98723,1;2757;478,2;16899,2;20265,3;21902,9;36420,5;1398,6;33519,5;37369,4;17726,3;0;862,9;18780,2;1;2186
ПФО;Республика Башкортостан;4;46905,2;43552;33748,8;7;9796,2;3289,2;153,7;0;1711,5;350;649;425;0;64;316,7;134,5;0;0;182,2;;
ПФО;Республика Башкортостан;5;45369,2;42321,9;32518,7;7;9796,2;2983,3;153,7;0;1560,6;350;494;425;0;64;109;109;0;0;0;;
ПФО;Республика Марий Эл;3;114331,3;61044,8;47064,6;517,3;13462,9;44333,5;843,6;680,4;4404,4;8881,8;1012;28511,3;0;8953;449,9;7;0;0;442,9;3;2508,5
ПФО;Республика Марий Эл;4;33047,1;29421,7;22347,9;135,5;6938,3;2686,2;42,1;4,5;1811,2;237;3,2;588,2;0;939,2;0;0;0;0;0;;
ПФО;Республика Марий Эл;5;31745,7;29215,4;22297;0;6918,4;2110;0;0;1807,5;160;0;142,5;0;420,3;0;0;0;0;0;;
ПФО;Республика Мордовия;3;178403,4;105817,8;83815;539,9;21462,9;35488,2;1536,3;67,2;9617;5155,3;2273,4;16839;201,9;36895,5;17941,3;11732,1;0;0;6209,2;0;48
ПФО;Республика Мордовия;4;44025,1;31438,8;23442,5;0;7996,3;7863,7;29,9;35,9;2129,9;0;15;5653;0;4722,6;11326,6;10774;0;0;552,6;;
ПФО;Республика Мордовия;5;36814,8;31438,8;23442,5;0;7996,3;3850;29,9;0;2129,9;0;15;1675,2;0;1526;20;0;0;0;20;;
ПФО;Республика Татарстан;3;1522867,4;691540,9;533888,3;13613,8;144038,8;723677,3;7802,3;5731,6;47158,9;28237,6;43432,1;591314,8;3001,4;104647,8;56844,1;34323,5;292;0;22228,6;6;16946,7
ПФО;Республика Татарстан;4;962651,2;353088,8;280153,9;613,5;72321,4;583962,2;2701,1;1193,2;28469,3;2934,8;28203,3;520460,5;783,4;24816,8;33660,8;24430,5;0;0;9230,3;;
ПФО;Республика Татарстан;5;332548;273160;209072,4;281,3;63806,3;48909,5;1958,8;633,1;17050,6;277,2;7309,2;21680,6;0;10478,5;13299,9;11879;0;0;1420,9;;
ПФО;Самарская область;3;1639062,7;927278;724865,7;6252,6;196159,7;523530,2;16859,8;12742,9;35128,2;114088,1;48776,4;295934,8;2880,8;185373,7;44821,6;12647,7;896,4;0;31277,5;19;1367,1
