FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69
ДВФО;Амурская область;23;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Амурская область;24;58;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Амурская область;25;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Амурская область;26;48;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Амурская область;27;56;56;0;0;0;0;0;0;0;0;6;0;0;0;2;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Амурская область;28;51;51;0;0;0;0;0;0;0;0;6;0;0;0;1;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Амурская область;29;5;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Амурская область;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Амурская область;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Амурская область;32;56;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;10;2;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ДВФО;Амурская область;33;442;442;0;0;0;0;0;0;0;16;0;0;0;0;0;0;14;0;0;0;10;0;29;0;285;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;23;2;0;0;8;44;27;0;7;0;5;0;0;5;0;0;0;1;0;0;0;0;0;6;0;0;0;0;0
ДВФО;Амурская область;34;182;182;0;0;0;0;0;0;0;16;0;0;0;0;0;0;14;0;0;0;10;0;0;0;140;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Амурская область;35;260;260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;23;2;0;0;8;44;27;0;7;0;5;0;0;5;0;0;0;1;0;0;0;0;0;6;0;0;0;0;0
ДВФО;Амурская область;36;654;646;0;0;0;0;0;0;0;32;5;3;0;0;0;0;6;0;0;0;8;0;23;0;159;0;0;0;0;0;0;0;118;0;0;0;0;0;30;76;54;2;0;1;0;84;29;1;25;0;17;0;0;11;0;0;1;14;0;0;0;18;0;13;0;0;0;0;8
ДВФО;Амурская область;37;173;173;0;0;0;0;0;0;0;17;0;0;0;0;0;0;5;0;0;0;7;0;0;0;82;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;25;0;0;0;0;14;4;1;3;0;3;0;0;2;0;0;1;2;0;0;0;9;0;5;0;0;0;0;0
