FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
ДВФО;Приморский край;6;26;4;10;1;96;5;13;0;10;30;36;2;0;15;6;9;1;1;2
ДВФО;Приморский край;7;11;2;3;1;39;3;6;0;2;10;14;4;0;26;16;10;1;0;7
ДВФО;Приморский край;8;61;9;28;4;202;6;17;1;11;59;49;44;15;85;58;24;2;3;33
ДВФО;Приморский край;9;27;3;14;3;106;6;13;0;3;30;18;36;0;81;54;24;2;0;19
ДВФО;Приморский край;10;16;2;7;1;52;4;4;0;1;18;23;2;0;15;6;9;1;0;1
ДВФО;Приморский край;11;6;1;3;1;17;2;2;0;1;3;7;2;0;15;6;9;0;0;7
ДВФО;Приморский край;12;1;1;0;0;8;2;2;0;1;3;0;0;0;0;0;0;0;0;0
ДВФО;Приморский край;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Республика Бурятия;3;32;4;13;1;426;6;51;3;25;243;78;15;5;194;171;2;0;0;45
ДВФО;Республика Бурятия;4;13;3;9;1;356;6;47;3;17;216;50;12;5;113;107;2;0;0;8
ДВФО;Республика Бурятия;5;12;3;9;0;322;5;39;2;15;207;39;10;5;113;107;2;0;0;4
ДВФО;Республика Бурятия;6;0;0;0;0;225;2;8;2;4;175;31;3;0;0;0;0;0;0;3
ДВФО;Республика Бурятия;7;1;0;1;0;6;0;1;1;1;1;2;0;0;2;2;0;0;0;0
ДВФО;Республика Бурятия;8;12;3;5;1;166;3;10;1;4;117;20;8;3;58;56;2;0;0;4
ДВФО;Республика Бурятия;9;11;3;5;0;155;2;9;1;4;109;20;8;2;53;53;0;0;0;1
ДВФО;Республика Бурятия;10;0;0;0;0;10;1;1;1;0;7;0;0;0;0;0;0;0;0;0
ДВФО;Республика Бурятия;11;0;0;0;0;6;0;1;1;1;1;2;0;0;1;1;0;0;0;0
ДВФО;Республика Бурятия;12;0;0;0;0;3;0;0;1;1;0;1;0;0;0;0;0;0;0;0
ДВФО;Республика Бурятия;13;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0
ДВФО;Республика Саха (Якутия);3;105;24;43;5;490;52;35;20;7;56;76;231;13;174;83;6;4;34;152
ДВФО;Республика Саха (Якутия);4;62;15;31;0;299;2;29;2;3;48;74;132;9;74;64;6;1;15;48
ДВФО;Республика Саха (Якутия);5;43;12;24;0;158;2;21;1;0;24;15;89;6;68;60;5;0;4;21
ДВФО;Республика Саха (Якутия);6;12;4;7;0;91;0;15;1;0;16;30;29;0;26;25;1;1;8;32
ДВФО;Республика Саха (Якутия);7;8;3;5;0;57;0;16;1;1;4;5;29;1;21;20;1;0;0;2
ДВФО;Республика Саха (Якутия);8;44;9;24;0;227;1;22;2;3;40;67;87;5;48;37;4;0;9;19
ДВФО;Республика Саха (Якутия);9;34;8;19;0;107;1;16;1;0;16;10;61;2;44;35;3;0;2;10
ДВФО;Республика Саха (Якутия);10;8;2;5;0;44;0;14;0;0;5;7;18;0;16;16;0;0;4;5
ДВФО;Республика Саха (Якутия);11;6;2;4;0;45;0;15;1;1;4;5;19;0;17;17;0;0;0;0
ДВФО;Республика Саха (Якутия);12;6;2;4;0;40;0;15;0;1;4;5;15;0;15;15;0;0;0;0
ДВФО;Республика Саха (Якутия);13;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Сахалинская область;3;72;23;32;0;149;0;20;2;6;29;47;45;0;93;43;17;1;15;98
ДВФО;Сахалинская область;4;33;14;13;0;127;0;17;2;6;28;45;29;0;47;33;9;1;6;20
ДВФО;Сахалинская область;5;19;10;9;0;62;0;11;1;2;8;14;26;0;22;13;4;0;1;1
ДВФО;Сахалинская область;6;2;1;1;0;35;0;1;1;3;9;10;11;0;0;0;0;1;1;3
ДВФО;Сахалинская область;7;3;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;0;0;5
ДВФО;Сахалинская область;8;19;10;7;0;117;0;17;2;6;28;44;20;0;20;15;4;1;2;6
ДВФО;Сахалинская область;9;14;8;6;0;50;0;11;1;2;8;13;15;0;12;7;4;0;1;0
ДВФО;Сахалинская область;10;2;1;1;0;29;0;1;1;3;9;10;5;0;0;0;0;1;1;3
ДВФО;Сахалинская область;11;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;3
ДВФО;Сахалинская область;12;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
ДВФО;Сахалинская область;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
ДВФО;Хабаровский край;3;181;36;48;13;348;11;41;2;22;127;53;72;20;105;73;18;2;28;134
ДВФО;Хабаровский край;4;143;24;31;11;304;10;37;2;22;120;47;50;16;86;56;16;1;14;47
ДВФО;Хабаровский край;5;46;12;16;3;236;6;30;1;17;96;30;44;12;66;48;16;0;0;11
ДВФО;Хабаровский край;6;27;7;9;8;225;8;29;1;16;106;46;9;10;3;3;0;1;8;14
ДВФО;Хабаровский край;7;6;0;0;0;11;0;1;0;1;8;1;0;0;2;2;0;0;0;1
ДВФО;Хабаровский край;8;56;12;10;6;242;10;33;2;18;107;44;23;5;23;20;3;1;5;32
ДВФО;Хабаровский край;9;6;1;1;2;140;4;20;1;13;65;14;18;5;16;13;3;0;0;9
ДВФО;Хабаровский край;10;18;4;7;3;182;6;20;1;13;93;43;5;1;1;1;0;1;3;7
ДВФО;Хабаровский край;11;0;0;0;0;11;0;1;0;1;8;1;0;0;0;0;0;0;0;1
ДВФО;Хабаровский край;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Хабаровский край;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Чукотский автономный округ;3;21;2;9;10;5;0;0;0;0;0;0;2;3;20;20;0;1;2;6
ДВФО;Чукотский автономный округ;4;17;2;5;2;5;0;0;0;0;0;0;2;3;8;8;0;1;0;2
ДВФО;Чукотский автономный округ;5;15;2;4;1;2;0;0;0;0;0;0;2;0;8;8;0;0;0;0
ДВФО;Чукотский автономный округ;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Чукотский автономный округ;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Чукотский автономный округ;8;12;2;2;2;0;0;0;0;0;0;0;0;0;6;6;0;0;0;1
ДВФО;Чукотский автономный округ;9;11;2;2;1;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0
ДВФО;Чукотский автономный округ;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Чукотский автономный округ;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Чукотский автономный округ;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Чукотский автономный округ;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ПФО;Кировская область;3;106;27;43;2;135;1;7;1;3;11;11;101;0;113;86;22;1;11;148
ПФО;Кировская область;4;69;19;29;2;97;0;7;1;3;11;10;65;0;103;77;21;0;2;55
ПФО;Кировская область;5;38;13;15;1;95;0;6;1;3;11;10;64;0;96;72;18;0;1;29
ПФО;Кировская область;6;27;4;16;0;40;0;1;1;0;7;0;31;0;24;22;2;0;1;16
ПФО;Кировская область;7;2;0;2;0;38;0;5;0;2;3;9;19;0;16;15;1;0;0;0
ПФО;Кировская область;8;42;7;16;2;57;0;7;1;2;8;10;29;0;68;52;14;0;1;24
ПФО;Кировская область;9;19;5;8;1;50;0;6;0;2;4;10;28;0;61;48;10;0;0;4
ПФО;Кировская область;10;14;2;5;0;14;0;1;1;0;4;0;8;0;7;7;0;0;1;11
ПФО;Кировская область;11;1;0;1;0;9;0;0;0;0;0;1;8;0;3;2;1;0;0;0
ПФО;Кировская область;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ПФО;Кировская область;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ПФО;Нижегородская область;3;185;33;57;6;726;8;57;0;106;241;83;159;72;152;106;40;7;26;169
ПФО;Нижегородская область;4;116;25;37;6;681;8;55;0;105;225;74;142;72;112;93;17;4;13;68
ПФО;Нижегородская область;5;61;16;21;4;632;7;53;0;104;217;67;112;72;87;79;7;4;1;21
ПФО;Нижегородская область;6;33;7;6;2;477;6;40;0;98;178;57;26;72;17;15;2;3;2;20
ПФО;Нижегородская область;7;1;0;1;0;25;1;2;0;0;1;0;21;0;13;11;2;0;0;0
ПФО;Нижегородская область;8;60;12;26;4;379;7;26;0;61;119;52;82;32;55;49;6;3;7;40
ПФО;Нижегородская область;9;29;5;13;3;327;6;23;0;54;108;45;67;24;45;44;1;3;1;12
ПФО;Нижегородская область;10;12;3;1;2;68;2;8;0;11;16;20;3;8;4;3;1;0;0;8
ПФО;Нижегородская область;11;1;0;1;0;9;0;0;0;0;1;0;8;0;3;3;0;0;0;0
ПФО;Нижегородская область;12;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
ПФО;Нижегородская область;13;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
ПФО;Оренбургская область;3;173;52;78;5;419;1;17;7;22;80;29;263;0;280;230;46;40;45;177
ПФО;Оренбургская область;4;137;37;60;3;372;1;17;1;22;80;24;227;0;236;207;19;31;8;71
ПФО;Оренбургская область;5;102;27;46;2;339;1;17;1;13;74;20;213;0;209;183;16;1;1;22
ПФО;Оренбургская область;6;12;4;6;1;95;0;8;1;16;37;11;22;0;7;5;0;1;6;16
ПФО;Оренбургская область;7;14;2;9;1;101;0;0;0;2;4;2;93;0;2;2;0;3;0;7
ПФО;Оренбургская область;8;85;20;33;2;263;0;10;1;14;42;17;179;0;73;67;5;9;4;34
ПФО;Оренбургская область;9;55;12;26;2;206;0;10;1;5;36;14;140;0;68;62;5;1;0;8
ПФО;Оренбургская область;10;6;1;4;0;44;0;8;0;13;8;5;10;0;2;2;0;0;3;7
ПФО;Оренбургская область;11;10;2;5;1;48;0;0;0;0;0;0;48;0;1;1;0;3;0;7
ПФО;Оренбургская область;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
ПФО;Оренбургская область;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ПФО;Пензенская область;3;112;28;29;8;229;1;24;0;18;48;15;102;21;123;37;30;3;20;130
ПФО;Пензенская область;4;64;20;15;3;177;1;24;0;18;48;12;53;21;79;31;11;0;1;19
ПФО;Пензенская область;5;45;16;8;1;154;1;22;0;18;47;7;38;21;70;28;5;0;0;3
ПФО;Пензенская область;6;10;1;3;0;5;0;0;0;0;0;2;3;0;5;4;0;0;0;2
ПФО;Пензенская область;7;0;0;0;0;10;0;2;0;0;0;5;3;0;0;0;0;0;0;0
ПФО;Пензенская область;8;24;11;8;0;157;0;24;0;18;48;10;36;21;17;8;5;0;0;5
ПФО;Пензенская область;9;12;9;1;0;135;0;22;0;18;47;5;22;21;17;8;5;0;0;3
ПФО;Пензенская область;10;5;1;2;0;0;0;0;0;0;0;0;0;0;5;4;0;0;0;2
ПФО;Пензенская область;11;0;0;0;0;10;0;2;0;0;0;5;3;0;0;0;0;0;0;0
ПФО;Пензенская область;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ПФО;Пензенская область;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ПФО;Пермский край;3;253;84;97;27;485;8;14;2;16;107;32;299;7;480;344;52;94;174;378
ПФО;Пермский край;4;192;66;74;24;372;5;14;0;13;92;21;222;5;388;304;44;77;75;88
ПФО;Пермский край;5;78;28;39;3;274;2;6;0;9;63;9;182;3;291;245;25;6;12;20
ПФО;Пермский край;6;30;9;9;7;31;1;1;0;1;8;6;14;0;49;34;4;8;3;14
ПФО;Пермский край;7;4;1;1;2;15;1;1;0;0;7;5;1;0;46;33;13;5;3;3
ПФО;Пермский край;8;101;37;41;12;239;3;8;0;11;73;9;132;3;211;180;26;44;12;52
ПФО;Пермский край;9;30;10;19;0;177;2;3;0;7;53;5;106;1;146;131;11;0;3;14
ПФО;Пермский край;10;12;4;3;1;14;0;0;0;1;6;3;4;0;19;17;2;8;3;11
ПФО;Пермский край;11;2;0;0;1;7;1;1;0;0;2;3;0;0;16;8;8;1;1;2
ПФО;Пермский край;12;0;0;0;0;4;0;0;0;0;2;2;0;0;0;0;0;1;1;0
ПФО;Пермский край;13;0;0;0;0;4;0;0;0;0;2;2;0;0;0;0;0;1;1;0
