FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
ДВФО;Забайкальский край;15;124;8;4;2;0;74;3;12;0;4;24;11;13;7;13;10;0;0;0;0;26;24;2;0;0;1;2;0;0
ДВФО;Забайкальский край;16;204;23;4;13;3;95;2;18;0;7;25;2;29;12;31;16;6;0;0;0;39;37;2;0;0;0;5;3;8
ДВФО;Забайкальский край;17;355;18;2;9;1;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;12;7;5;0;11;47;51;66;147
ДВФО;Камчатский край;3;386;57;11;21;0;51;0;5;0;0;3;20;23;0;47;33;14;0;0;0;61;36;11;0;3;99;8;41;19
ДВФО;Камчатский край;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;0;1
ДВФО;Камчатский край;5;18;2;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;0;0;0;5;5;0;0;1;2;0;5;0
ДВФО;Камчатский край;6;44;1;0;0;0;3;0;0;0;0;0;1;2;0;10;8;2;0;0;0;13;11;1;0;1;6;4;4;2
ДВФО;Камчатский край;7;70;5;0;1;0;15;0;0;0;0;1;6;8;0;1;1;0;0;0;0;21;9;9;0;0;16;0;9;3
ДВФО;Камчатский край;8;35;5;1;4;0;6;0;0;0;0;0;1;5;0;4;2;2;0;0;0;5;3;1;0;0;11;0;2;2
ДВФО;Камчатский край;9;212;44;10;16;0;27;0;5;0;0;2;12;8;0;29;20;9;0;0;0;15;6;0;0;1;64;0;21;11
ДВФО;Камчатский край;10;226;38;6;16;0;51;0;5;0;0;3;20;23;0;47;33;14;0;0;0;51;28;11;0;0;6;5;25;3
ДВФО;Камчатский край;11;23;2;0;0;0;8;0;0;0;0;0;0;8;0;0;0;0;0;0;0;3;3;0;0;0;2;2;4;2
ДВФО;Камчатский край;12;11;1;0;0;0;1;0;0;0;0;0;1;0;0;3;2;1;0;0;0;2;2;0;0;0;0;0;3;1
ДВФО;Камчатский край;13;34;0;0;0;0;7;0;0;0;0;1;2;4;0;12;8;4;0;0;0;11;8;1;0;0;0;3;1;0
ДВФО;Камчатский край;14;35;3;1;0;0;6;0;0;0;0;0;5;1;0;3;2;1;0;0;0;20;9;9;0;0;1;0;2;0
ДВФО;Камчатский край;15;18;4;0;2;0;6;0;0;0;0;0;2;4;0;2;2;0;0;0;0;3;3;1;0;0;1;0;2;0
ДВФО;Камчатский край;16;105;28;5;14;0;23;0;5;0;0;2;10;6;0;27;19;8;0;0;0;12;3;0;0;0;2;0;13;0
ДВФО;Камчатский край;17;160;19;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;8;0;0;3;93;3;16;16
ДВФО;Магаданская область;3;340;39;14;12;1;4;0;1;0;0;0;0;3;0;52;47;5;0;0;0;62;37;14;0;3;39;42;20;79
ДВФО;Магаданская область;4;16;1;1;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;4;1;1;0;0;1;0;1;6
ДВФО;Магаданская область;5;12;1;1;0;0;1;0;0;0;0;0;0;1;0;4;4;0;0;0;0;3;3;0;0;0;1;0;1;1
ДВФО;Магаданская область;6;46;3;1;1;0;1;0;0;0;0;0;0;1;0;8;6;2;0;0;0;4;3;0;0;0;7;8;2;13
ДВФО;Магаданская область;7;48;0;0;0;0;1;0;1;0;0;0;0;0;0;3;1;2;0;0;0;11;7;3;0;1;5;6;2;19
ДВФО;Магаданская область;8;52;5;2;2;1;1;0;0;0;0;0;0;1;0;10;9;1;0;0;0;8;5;3;0;0;7;8;8;5
ДВФО;Магаданская область;9;166;29;9;9;0;0;0;0;0;0;0;0;0;0;24;24;0;0;0;0;32;18;7;0;2;18;20;6;35
ДВФО;Магаданская область;10;151;29;11;10;1;3;0;1;0;0;0;0;2;0;50;47;3;0;0;0;59;34;14;0;1;1;0;0;8
ДВФО;Магаданская область;11;11;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;6;2;2;0;0;0;0;0;1
ДВФО;Магаданская область;12;15;1;0;0;1;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;8;4;4;0;0;1;0;0;2
ДВФО;Магаданская область;13;29;6;5;1;0;2;0;0;0;0;0;0;2;0;10;8;2;0;0;0;9;3;4;0;0;0;0;0;2
ДВФО;Магаданская область;14;16;1;0;0;0;1;0;1;0;0;0;0;0;0;5;5;0;0;0;0;8;5;2;0;0;0;0;0;1
ДВФО;Магаданская область;15;24;5;3;2;0;0;0;0;0;0;0;0;0;0;6;5;1;0;0;0;11;7;2;0;1;0;0;0;1
ДВФО;Магаданская область;16;56;16;3;7;0;0;0;0;0;0;0;0;0;0;22;22;0;0;0;0;17;13;0;0;0;0;0;0;1
ДВФО;Магаданская область;17;189;10;3;2;0;1;0;0;0;0;0;0;1;0;2;0;2;0;0;0;3;3;0;0;2;38;42;20;71
ДВФО;Приморский край;3;2467;162;30;84;11;628;9;43;4;49;193;102;164;64;306;249;34;17;2;2;258;187;33;3;20;240;4;312;517
ДВФО;Приморский край;4;115;1;0;0;0;16;0;0;0;0;0;0;11;5;10;10;0;0;0;0;14;11;3;0;0;28;1;21;24
ДВФО;Приморский край;5;129;2;1;1;0;26;0;0;0;0;1;7;10;8;12;4;3;5;0;0;18;14;2;0;1;19;0;30;16
