FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47
ДВФО;Забайкальский край;6;10261;7105;312;2951;150;53;48;22;0;27;0;0;0;2796;182;2090;185;0;286;53;0;0;54;2;4;0;0;0;59;0;59;14;14;0;0;0;74;3597;1052;2545;3963;340;2087;16;1520;0;0
ДВФО;Забайкальский край;7;3498;1850;412;1579;300;93;40;2;0;165;0;0;0;877;106;556;14;0;188;0;9;4;23;8;6;0;1;1;32;0;32;0;0;0;0;0;7;767;118;649;1594;227;775;205;387;1;0
ДВФО;Забайкальский край;8;2159;1056;318;1061;230;93;40;2;0;95;0;0;0;720;71;498;14;0;124;0;9;4;2;0;0;0;1;1;32;0;32;0;0;0;0;0;7;542;20;522;637;135;309;107;86;1;0
ДВФО;Забайкальский край;9;1339;794;94;518;70;0;0;0;0;70;0;0;0;157;35;58;0;0;64;0;0;0;21;8;6;0;0;0;0;0;0;0;0;0;0;0;0;225;98;127;957;92;466;98;301;0;0
ДВФО;Забайкальский край;10;1215;908;130;243;11;8;2;1;0;0;0;0;0;110;35;43;2;0;29;0;1;0;23;8;6;0;1;1;32;0;16;0;0;0;0;0;2;331;2;329;372;19;88;0;265;1;0
ДВФО;Забайкальский край;11;1047;550;48;497;0;0;0;0;0;0;0;0;0;144;0;93;48;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;20;0;530;30;240;0;260;0;0
ДВФО;Забайкальский край;12;646;200;0;446;0;0;0;0;0;0;0;0;0;144;0;93;48;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;200;0;0
ДВФО;Забайкальский край;13;401;350;48;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;20;0;330;30;240;0;60;0;0
ДВФО;Забайкальский край;14;19105;7989;302;10249;850;246;392;46;0;161;0;5;0;7860;491;6258;413;0;524;170;0;4;436;28;141;0;71;1;80;0;32;13;13;0;0;0;126;4486;288;4198;3614;641;1143;348;1482;1;0
ДВФО;Камчатский край;3;18605;8700;991;6225;434;19;239;40;0;21;22;93;0;5791;1527;3193;304;0;153;77;530;7;206;69;46;34;376;366;269;0;269;727;613;100;14;0;2022;4158;447;3711;6375;708;5319;280;68;0;0
ДВФО;Камчатский край;4;17698;8433;966;6042;404;19;222;40;0;10;22;91;0;5638;1491;3171;260;0;148;77;491;0;191;69;46;6;235;228;256;0;256;544;437;99;8;0;1945;3812;328;3484;6069;671;5063;268;67;0;0
ДВФО;Камчатский край;5;14695;7047;777;5018;313;11;167;25;0;6;21;83;0;4705;1213;2699;213;0;114;77;389;0;191;69;46;0;8;5;243;0;243;322;254;63;5;0;1820;2279;184;2095;4992;539;4152;235;66;0;0
ДВФО;Камчатский край;6;3003;1386;189;1024;91;8;55;15;0;4;1;8;0;933;278;472;47;0;34;0;102;0;0;0;0;6;227;223;13;0;13;222;183;36;3;0;125;1533;144;1389;1077;132;911;33;1;0;0
ДВФО;Камчатский край;7;907;267;25;183;30;0;17;0;0;11;0;2;0;153;36;22;44;0;5;0;39;7;15;0;0;28;141;138;13;0;13;183;176;1;6;0;77;346;119;227;306;37;256;12;1;0;0
ДВФО;Камчатский край;8;717;226;25;161;30;0;17;0;0;11;0;2;0;131;35;17;44;0;5;0;28;2;0;0;0;16;68;65;9;0;9;183;176;1;6;0;54;232;17;215;234;28;193;12;1;0;0
ДВФО;Камчатский край;9;190;41;0;22;0;0;0;0;0;0;0;0;0;22;1;5;0;0;0;0;11;5;15;0;0;12;73;73;4;0;4;0;0;0;0;0;23;114;102;12;72;9;63;0;0;0;0
ДВФО;Камчатский край;10;485;152;23;138;26;0;13;0;0;11;0;2;0;112;19;10;44;0;4;0;28;7;0;0;0;26;130;128;9;0;9;3;2;1;0;0;27;221;115;106;187;14;167;6;0;0;0
ДВФО;Камчатский край;11;61;22;0;31;2;1;0;0;0;0;0;1;0;29;10;0;15;0;1;1;2;0;0;0;0;0;7;5;0;0;0;0;0;0;0;0;1;27;0;27;34;2;31;1;0;0;0
ДВФО;Камчатский край;12;20;13;0;7;2;1;0;0;0;0;0;1;0;5;2;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;12;8;1;7;0;0;0;0
ДВФО;Камчатский край;13;41;9;0;24;0;0;0;0;0;0;0;0;0;24;8;0;15;0;1;0;0;0;0;0;0;0;7;5;0;0;0;0;0;0;0;0;1;15;0;15;26;1;24;1;0;0;0
ДВФО;Камчатский край;14;9206;1838;107;5574;377;12;223;29;0;17;21;75;0;5190;1527;2800;211;0;129;75;445;3;157;55;43;0;309;298;35;0;35;510;487;15;8;0;740;2811;260;2551;5023;609;4084;263;67;0;0
ДВФО;Магаданская область;3;4941;2954;289;1863;222;74;125;10;0;0;0;13;0;1639;223;1251;82;0;14;0;69;0;45;0;0;0;51;51;0;0;0;27;27;0;0;0;1;1711;160;1551;2394;597;1743;45;9;0;0
ДВФО;Магаданская область;4;4712;2836;279;1837;222;74;125;10;0;0;0;13;0;1614;203;1251;82;0;14;0;64;0;17;0;0;0;11;11;0;0;0;11;11;0;0;0;0;1707;158;1549;2307;546;1707;45;9;0;0
ДВФО;Магаданская область;5;2712;1366;266;1307;181;58;100;10;0;0;0;13;0;1125;130;900;48;0;14;0;33;0;17;0;0;0;11;11;0;0;0;11;11;0;0;0;0;360;34;326;1726;329;1343;45;9;0;0
ДВФО;Магаданская область;6;2000;1470;13;530;41;16;25;0;0;0;0;0;0;489;73;351;34;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1347;124;1223;581;217;364;0;0;0;0
ДВФО;Магаданская область;7;229;118;10;26;0;0;0;0;0;0;0;0;0;25;20;0;0;0;0;0;5;0;28;0;0;0;40;40;0;0;0;16;16;0;0;0;1;4;2;2;87;51;36;0;0;0;0
ДВФО;Магаданская область;8;173;94;4;10;0;0;0;0;0;0;0;0;0;10;10;0;0;0;0;0;0;0;12;0;0;0;40;40;0;0;0;16;16;0;0;0;1;4;2;2;45;31;14;0;0;0;0
ДВФО;Магаданская область;9;56;24;6;16;0;0;0;0;0;0;0;0;0;15;10;0;0;0;0;0;5;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;20;22;0;0;0;0
ДВФО;Магаданская область;10;99;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
