FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
ДВФО;Амурская область;3;979,1;74;6;19;0;218,5;4;13;0;5,75;10,25;12;151,5;22;72;40;14;1;0;0;166,5;145,5;21;0;4;73,5;5;16,5;348,1
ДВФО;Амурская область;4;686;62;6;17;0;128,05;2,5;10;0;2,5;8,5;7;84;13,55;65;34;13;1;0;0;83;58;15;0;4;47;5;14,95;276
ДВФО;Амурская область;5;509,5;51;5;14;0;102,75;2,5;9;0;2;8;7;69;5,25;65;34;13;1;0;0;20;5;15;0;4;44;5;13,75;203
ДВФО;Амурская область;6;759;68;6;17;0;107;4;10;0;1;10;12;66;4;105;57;36;0;0;0;88;60;16;0;10;70;5;63;243
ДВФО;Амурская область;7;121;1;0;0;0;10;0;0;0;0;1;3;2;4;18;17;1;1;1;0;22;19;3;0;0;0;0;4;65
ДВФО;Амурская область;8;13;0;0;0;0;2;0;0;0;0;0;0;2;0;1;0;1;0;0;0;7;4;3;0;0;0;0;0;3
ДВФО;Амурская область;9;12;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;0;2;2;0;0;0;0;0;1;4
ДВФО;Амурская область;10;98;3;1;2;0;8;1;0;0;0;1;3;1;2;0;0;0;0;0;0;13;10;2;0;0;1;2;1;70
ДВФО;Амурская область;11;91;3;1;2;0;7;1;0;0;0;0;3;1;2;0;0;0;0;0;0;13;10;1;0;0;1;2;1;64
ДВФО;Амурская область;12;782;71;7;20;0;111;3;10;0;1;10;12;69;6;123;69;36;1;0;0;91;67;14;0;4;44;5;19;313
ДВФО;Еврейская автономная область;3;82,5;9;5;3;0;47,5;0;4;0;0;5,5;25,5;10;2,5;0;0;0;0;0;0;7;7;0;0;0;15;0;2;2
ДВФО;Еврейская автономная область;4;61;9;5;3;0;30;0;4;0;0;1;15;8;2;0;0;0;0;0;0;7;7;0;0;0;12;0;1;2
ДВФО;Еврейская автономная область;5;37;5;2;2;0;20;0;4;0;0;1;13;0;2;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0
ДВФО;Еврейская автономная область;6;50;9;4;3;0;27;0;4;0;0;1;15;5;2;0;0;0;0;0;0;0;0;0;0;0;12;0;1;1
ДВФО;Еврейская автономная область;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;12;50;9;5;3;0;27;0;4;0;0;1;15;5;2;0;0;0;0;0;0;0;0;0;0;0;12;0;1;1
ДВФО;Забайкальский край;3;1254,8;62,25;11;31;4;380,75;6;49;0;16,75;94;27,75;77,25;110;151,5;105;14;0;0;0;196,3;180,6;14,7;3,5;28,75;71,75;77;93;190
ДВФО;Забайкальский край;4;1141,65;57,25;10;27;3;366,35;6;46;0;12,75;91;23,75;76,85;110;149,5;104;13;0;0;0;179,05;174,05;14,7;2,25;26,75;65,25;75;77;143,25
ДВФО;Забайкальский край;5;990,3;57,25;9;27;3;324,25;6;42;0;11,75;89;22,75;68,75;84;103,5;64;13;0;0;0;139,05;125,05;14;2,25;24,75;61,75;73;72,5;132
