FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11
ДВФО;Амурская область;3;39;12;4;1417;895;3962;252;600;0;0;0
ДВФО;Еврейская автономная область;3;4;4;4;183;179;796;796;0;0;0;0
ДВФО;Забайкальский край;3;9;6;6;1559;1211;3147;1947;656;2;2;2
ДВФО;Камчатский край;3;17;14;12;156;116;432;58;2;2;1;1
ДВФО;Магаданская область;3;11;2;2;90;50;169;0;0;1;1;1
ДВФО;Приморский край;3;108;4;4;2294;2127;10933;2357;1223;1;0;0
ДВФО;Республика Бурятия;3;3;0;0;0;0;0;0;0;1;1;1
ДВФО;Республика Саха (Якутия);3;93;86;86;888;770;4507;946;45;4;4;3
ДВФО;Сахалинская область;3;36;15;15;3644;1436;4661;97;147;2;0;0
ДВФО;Хабаровский край;3;211;73;72;7024;5984;28963;4513;8197;6;6;7
ДВФО;Чукотский автономный округ;3;2;2;2;108;56;179;30;56;1;0;1
ПФО;Кировская область;3;84;36;35;2690;1850;13142;1884;94;4;2;1
ПФО;Нижегородская область;3;135;28;27;6245;2945;14250;1035;1274;6;2;2
ПФО;Оренбургская область;3;180;84;84;8252;6391;10508;4903;1445;10;8;10
ПФО;Пензенская область;3;68;29;10;7182;6932;21739;618;1307;3;1;1
ПФО;Пермский край;3;203;85;85;18448;13584;27689;20522;1347;7;4;4
ПФО;Республика Башкортостан;3;92;65;65;12764;12136;37487;1090;53;5;3;3
ПФО;Республика Марий Эл;3;70;20;19;558;436;1228;313;82;2;2;3
ПФО;Республика Мордовия;3;106;43;41;7533;6893;14334;267;267;1;1;1
ПФО;Республика Татарстан;3;468;109;77;11677;10073;58545;1892;9397;10;7;9
ПФО;Самарская область;3;285;154;148;5488;4821;10520;3883;2554;11;7;10
ПФО;Саратовская область;3;85;71;49;594;203;2188;450;100;2;2;3
ПФО;Удмуртская Республика;3;39;17;14;844;765;2687;6;1132;3;2;2
ПФО;Ульяновская область;3;73;28;28;1145;1045;1105;97;125;2;2;2
ПФО;Чувашская Республика — Чувашия;3;195;36;18;1777;906;12227;1281;2651;3;3;3
СЗФО;Архангельская область;3;87;52;52;2305;1920;11685;302;377;2;2;1
СЗФО;Вологодская область;3;160;63;60;601;445;6123;160;449;4;2;2
СЗФО;Калининградская область;3;84;35;35;175;49;604;175;0;5;5;5
СЗФО;Ленинградская область;3;17;5;5;3775;3622;5092;150;582;0;0;1
СЗФО;Мурманская область;3;20;2;2;484;405;1599;372;597;0;0;0
