FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9
ПФО;Нижегородская область;5;36685;35174;12468;22706;1511;1279;232;158;
ПФО;Нижегородская область;6;17500;13975;6050;7925;3525;1961;1564;1529;
ПФО;Нижегородская область;7;3230;2688;1316;1372;542;363;179;195;
ПФО;Нижегородская область;8;19948;19082;10607;8475;866;337;529;497;
ПФО;Нижегородская область;9;10504;10500;8663;1837;4;4;0;0;
ПФО;Оренбургская область;3;85658;76927;56241;20686;8731;5800;2931;4702;29745
ПФО;Оренбургская область;4;58749;55547;41911;13636;3202;2461;741;1422;
ПФО;Оренбургская область;5;5037;4887;1146;3741;150;62;88;69;
ПФО;Оренбургская область;6;16123;13802;9914;3888;2321;1299;1022;695;
ПФО;Оренбургская область;7;553;549;536;13;4;2;2;1;
ПФО;Оренбургская область;8;10786;7578;4416;3162;3208;2040;1168;2585;
ПФО;Оренбургская область;9;224;196;30;166;28;5;23;23;
ПФО;Пензенская область;3;54660;45245;22757;22488;9415;6285;3130;5539;18412
ПФО;Пензенская область;4;36172;31685;15404;16281;4487;2924;1563;3219;
ПФО;Пензенская область;5;7823;7573;1522;6051;250;70;180;195;
ПФО;Пензенская область;6;10868;9067;4660;4407;1801;1388;413;316;
ПФО;Пензенская область;7;776;559;161;398;217;158;59;0;
ПФО;Пензенская область;8;7620;4493;2693;1800;3127;1973;1154;2004;
ПФО;Пензенская область;9;23;23;0;23;0;0;0;0;
ПФО;Пермский край;3;171829;154548;111788;42760;17281;10554;6727;10326;24792
ПФО;Пермский край;4;110248;106136;84626;21510;4112;3769;343;2046;
ПФО;Пермский край;5;8475;8330;5356;2974;145;17;128;134;
ПФО;Пермский край;6;41290;35300;20706;14594;5990;4464;1526;1970;
ПФО;Пермский край;7;7128;6565;2308;4257;563;451;112;309;
ПФО;Пермский край;8;20291;13112;6456;6656;7179;2321;4858;6310;
ПФО;Пермский край;9;2074;2039;2039;0;35;35;0;35;
ПФО;Республика Башкортостан;3;134994;119952;71183;48769;15042;9741;5301;5036;67289
ПФО;Республика Башкортостан;4;79836;73213;52301;20912;6623;5243;1380;2458;
ПФО;Республика Башкортостан;5;6480;5925;2813;3112;555;107;448;493;
ПФО;Республика Башкортостан;6;39285;32801;11992;20809;6484;4076;2408;2050;
ПФО;Республика Башкортостан;7;1432;730;554;176;702;511;191;0;
ПФО;Республика Башкортостан;8;15873;13938;6890;7048;1935;422;1513;528;
ПФО;Республика Башкортостан;9;449;411;292;119;38;21;17;0;
ПФО;Республика Марий Эл;3;38030;33372;25327;8045;4658;3768;890;1089;8676
ПФО;Республика Марий Эл;4;25462;23646;19385;4261;1816;1717;99;1003;
ПФО;Республика Марий Эл;5;8089;7843;6095;1748;246;244;2;222;
ПФО;Республика Марий Эл;6;5227;3554;2727;827;1673;1343;330;14;
ПФО;Республика Марий Эл;7;1552;1089;1065;24;463;463;0;0;
ПФО;Республика Марий Эл;8;7341;6172;3215;2957;1169;708;461;72;
ПФО;Республика Марий Эл;9;381;381;255;126;0;0;0;0;
ПФО;Республика Мордовия;3;57615;53808;40926;12882;3807;2181;1626;2152;39419
ПФО;Республика Мордовия;4;47236;46500;36428;10072;736;624;112;528;
ПФО;Республика Мордовия;5;12671;12641;8970;3671;30;0;30;30;
ПФО;Республика Мордовия;6;8817;5793;3554;2239;3024;1510;1514;1608;
ПФО;Республика Мордовия;7;964;862;572;290;102;45;57;69;
ПФО;Республика Мордовия;8;1562;1515;944;571;47;47;0;16;
ПФО;Республика Мордовия;9;381;358;332;26;23;23;0;0;
ПФО;Республика Татарстан;3;184470;163403;106889;56514;21067;13201;7866;7257;64985
ПФО;Республика Татарстан;4;136348;127255;91846;35409;9093;6535;2558;3499;
ПФО;Республика Татарстан;5;66615;63662;43707;19955;2953;2176;777;1429;
ПФО;Республика Татарстан;6;40120;29952;10983;18969;10168;5507;4661;3667;
ПФО;Республика Татарстан;7;18673;15651;2502;13149;3022;1838;1184;776;
ПФО;Республика Татарстан;8;8002;6196;4060;2136;1806;1159;647;91;
ПФО;Республика Татарстан;9;1398;1029;219;810;369;335;34;0;
ПФО;Самарская область;3;270744;247946;174042;73904;22798;17032;5766;7056;52298
ПФО;Самарская область;4;164281;152367;111189;41178;11914;8379;3535;4959;
ПФО;Самарская область;5;53746;52376;40406;11970;1370;1032;338;395;
ПФО;Самарская область;6;74739;65948;46098;19850;8791;7302;1489;1700;
ПФО;Самарская область;7;15255;13709;11637;2072;1546;1480;66;4;
ПФО;Самарская область;8;31724;29631;16755;12876;2093;1351;742;397;
ПФО;Самарская область;9;1345;1340;398;942;5;2;3;0;
ПФО;Саратовская область;3;59651;38994;24072;14922;20657;5250;15407;3599;15422
ПФО;Саратовская область;4;32699;26564;17740;8824;6135;3417;2718;1231;
ПФО;Саратовская область;5;4506;3876;556;3320;630;216;414;15;
ПФО;Саратовская область;6;21387;8298;4311;3987;13089;1313;11776;1649;
ПФО;Саратовская область;7;1246;793;192;601;453;391;62;92;
ПФО;Саратовская область;8;5565;4132;2021;2111;1433;520;913;719;
ПФО;Саратовская область;9;434;375;192;183;59;59;0;59;
ПФО;Удмуртская Республика;3;59519;53580;42766;10814;5939;3556;2383;2164;19615
ПФО;Удмуртская Республика;4;46559;43257;37555;5702;3302;1856;1446;1248;
ПФО;Удмуртская Республика;5;7646;7097;5210;1887;549;398;151;358;
ПФО;Удмуртская Республика;6;11734;9451;4670;4781;2283;1431;852;832;
ПФО;Удмуртская Республика;7;3809;3495;1082;2413;314;288;26;0;
ПФО;Удмуртская Республика;8;1226;872;541;331;354;269;85;84;
ПФО;Удмуртская Республика;9;2;0;0;0;2;2;0;0;
ПФО;Ульяновская область;3;45669;39327;21424;17903;6342;5459;883;1182;21571
ПФО;Ульяновская область;4;29518;25566;17482;8084;3952;3672;280;394;
ПФО;Ульяновская область;5;1661;1345;922;423;316;301;15;26;
ПФО;Ульяновская область;6;15317;13295;3565;9730;2022;1563;459;733;
ПФО;Ульяновская область;7;350;345;123;222;5;4;1;0;
ПФО;Ульяновская область;8;834;466;377;89;368;224;144;55;
ПФО;Ульяновская область;9;0;0;0;0;0;0;0;0;
ПФО;Чувашская Республика — Чувашия;3;51837;45765;29018;16747;6072;3618;2454;1631;10826
ПФО;Чувашская Республика — Чувашия;4;38291;35083;23729;11354;3208;2439;769;413;
ПФО;Чувашская Республика — Чувашия;5;10954;10623;4434;6189;331;295;36;70;
ПФО;Чувашская Республика — Чувашия;6;7259;5460;3396;2064;1799;918;881;985;
ПФО;Чувашская Республика — Чувашия;7;502;502;357;145;0;0;0;0;
ПФО;Чувашская Республика — Чувашия;8;6287;5222;1893;3329;1065;261;804;233;
ПФО;Чувашская Республика — Чувашия;9;377;364;267;97;13;10;3;9;
СЗФО;Архангельская область;3;40991;36435;24791;11644;4556;3248;1308;1622;6960
СЗФО;Архангельская область;4;28603;25876;18713;7163;2727;2213;514;1040;
СЗФО;Архангельская область;5;6347;6184;3253;2931;163;36;127;37;
СЗФО;Архангельская область;6;9245;7705;3832;3873;1540;781;759;500;
СЗФО;Архангельская область;7;2228;1766;588;1178;462;225;237;0;
СЗФО;Архангельская область;8;3143;2854;2246;608;289;254;35;82;
СЗФО;Архангельская область;9;1705;1705;1403;302;0;0;0;0;
СЗФО;Вологодская область;3;63931;59064;46781;12283;4867;4343;524;1290;20257
СЗФО;Вологодская область;4;37487;33901;26727;7174;3586;3208;378;832;
СЗФО;Вологодская область;5;4310;4129;3096;1033;181;88;93;93;
СЗФО;Вологодская область;6;21917;20647;16258;4389;1270;1124;146;455;
СЗФО;Вологодская область;7;5972;5870;5236;634;102;75;27;25;
СЗФО;Вологодская область;8;4527;4516;3796;720;11;11;0;3;
СЗФО;Вологодская область;9;158;158;98;60;0;0;0;0;
СЗФО;Калининградская область;3;83998;78492;63621;14871;5506;4664;842;1448;16207
СЗФО;Калининградская область;4;57575;54727;47292;7435;2848;2666;182;412;
СЗФО;Калининградская область;5;5970;5855;3846;2009;115;87;28;28;
СЗФО;Калининградская область;6;25463;22888;15947;6941;2575;1916;659;1025;
СЗФО;Калининградская область;7;3288;3017;1245;1772;271;125;146;0;
СЗФО;Калининградская область;8;960;877;382;495;83;82;1;11;
СЗФО;Калининградская область;9;224;220;220;0;4;4;0;4;
СЗФО;Ленинградская область;3;18497;15351;6890;8461;3146;2626;520;2138;2281
СЗФО;Ленинградская область;4;13340;10440;4043;6397;2900;2487;413;2138;
СЗФО;Ленинградская область;5;7348;6734;2131;4603;614;450;164;154;
СЗФО;Ленинградская область;6;3102;2958;2137;821;144;121;23;0;
СЗФО;Ленинградская область;7;58;56;0;56;2;2;0;0;
СЗФО;Ленинградская область;8;2055;1953;710;1243;102;18;84;0;
СЗФО;Ленинградская область;9;1414;1332;130;1202;82;0;82;0;
СЗФО;Мурманская область;3;32908;31265;24428;6837;1643;1052;591;664;22762
СЗФО;Мурманская область;4;18728;17701;12663;5038;1027;964;63;319;
СЗФО;Мурманская область;5;8626;8228;3977;4251;398;398;0;117;
СЗФО;Мурманская область;6;12201;11776;10914;862;425;3;422;213;
СЗФО;Мурманская область;7;824;738;280;458;86;0;86;72;
СЗФО;Мурманская область;8;1979;1788;851;937;191;85;106;132;
СЗФО;Мурманская область;9;61;56;21;35;5;0;5;5;
СЗФО;Ненецкий автономный округ;3;1738;1601;1405;196;137;137;0;114;164
СЗФО;Ненецкий автономный округ;4;203;180;97;83;23;23;0;0;
СЗФО;Ненецкий автономный округ;5;42;42;42;0;0;0;0;0;
СЗФО;Ненецкий автономный округ;6;1535;1421;1308;113;114;114;0;114;
СЗФО;Ненецкий автономный округ;7;49;49;44;5;0;0;0;0;
СЗФО;Ненецкий автономный округ;8;0;0;0;0;0;0;0;0;
СЗФО;Ненецкий автономный округ;9;0;0;0;0;0;0;0;0;
СЗФО;Новгородская область;3;13609;11256;5324;5932;2353;1599;754;652;2768
СЗФО;Новгородская область;4;6986;6062;3300;2762;924;563;361;29;
СЗФО;Новгородская область;5;2361;2346;1779;567;15;15;0;0;
СЗФО;Новгородская область;6;5425;4159;1838;2321;1266;982;284;619;
