FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12
ДВФО;Амурская область;3;2;2;2;2;1;0;0;2;2;1;1;2
ДВФО;Амурская область;4;2;2;2;2;1;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;3;1;1;2;2;2;1;0;1;0;0;1;2
ДВФО;Еврейская автономная область;4;1;1;2;2;2;1;0;1;0;0;0;1
ДВФО;Забайкальский край;3;2;2;2;2;2;1;2;1;2;2;1;1
ДВФО;Забайкальский край;4;2;2;2;2;2;1;2;1;0;0;1;1
ДВФО;Камчатский край;3;5;4;5;5;2;3;0;5;3;3;4;3
ДВФО;Камчатский край;4;4;4;4;4;2;3;0;3;0;0;1;2
ДВФО;Магаданская область;3;1;1;2;4;3;1;2;5;0;1;0;0
ДВФО;Магаданская область;4;1;1;2;4;3;1;2;3;0;0;0;0
ДВФО;Приморский край;3;7;8;2;4;5;0;3;6;5;5;2;4
ДВФО;Приморский край;4;7;7;2;4;4;0;3;2;0;0;1;2
ДВФО;Республика Бурятия;3;1;1;1;1;1;0;1;0;1;1;0;0
ДВФО;Республика Бурятия;4;1;1;1;1;1;0;1;0;0;0;0;0
ДВФО;Республика Саха (Якутия);3;7;7;4;4;5;3;2;6;4;3;4;3
ДВФО;Республика Саха (Якутия);4;7;7;4;4;4;3;2;5;0;0;4;2
ДВФО;Сахалинская область;3;8;7;6;8;6;2;2;8;7;3;3;5
ДВФО;Сахалинская область;4;8;7;6;8;6;1;1;3;0;0;2;3
ДВФО;Хабаровский край;3;24;24;10;19;18;11;5;20;18;18;14;16
ДВФО;Хабаровский край;4;22;22;10;19;17;10;5;15;0;8;10;9
ДВФО;Чукотский автономный округ;3;1;1;2;2;2;2;0;2;2;2;2;2
ДВФО;Чукотский автономный округ;4;1;1;2;2;2;2;0;2;0;0;1;1
ПФО;Кировская область;3;13;12;6;9;8;3;1;7;8;7;3;6
ПФО;Кировская область;4;12;12;5;9;6;2;1;5;0;2;3;3
ПФО;Нижегородская область;3;13;15;13;10;12;2;5;12;12;10;11;9
ПФО;Нижегородская область;4;12;13;11;9;11;1;5;8;0;3;7;6
ПФО;Оренбургская область;3;22;27;18;21;21;13;8;19;15;14;10;9
ПФО;Оренбургская область;4;21;27;17;21;20;11;6;14;0;5;6;4
