FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7
ДВФО;Приморский край;5;1;0;0;0;0;0;0
ДВФО;Приморский край;6;12;1;1;0;0;0;0
ДВФО;Приморский край;7;4;1;1;0;0;0;0
ДВФО;Приморский край;8;17;4;4;0;0;0;5
ДВФО;Приморский край;9;8;3;3;0;0;0;4
ДВФО;Приморский край;10;19;4;4;0;0;1;2
ДВФО;Приморский край;11;11;3;3;0;0;0;1
ДВФО;Приморский край;12;25;3;3;0;0;1;2
ДВФО;Приморский край;13;18;1;1;0;0;0;0
ДВФО;Приморский край;14;18;8;7;1;0;3;2
ДВФО;Приморский край;15;14;5;5;0;0;0;2
ДВФО;Приморский край;16;17;10;10;0;0;0;2
ДВФО;Приморский край;17;10;3;3;0;0;0;1
ДВФО;Приморский край;18;27;7;7;0;0;0;3
ДВФО;Приморский край;19;18;5;5;0;0;0;2
ДВФО;Приморский край;20;13;7;7;0;0;1;2
ДВФО;Приморский край;21;3;2;2;0;0;0;0
ДВФО;Приморский край;22;16;2;2;0;0;0;0
ДВФО;Приморский край;23;8;2;2;0;0;0;0
ДВФО;Республика Бурятия;3;58;264;263;1;0;0;2
ДВФО;Республика Бурятия;4;0;1;1;0;0;0;0
ДВФО;Республика Бурятия;5;0;0;0;0;0;0;0
ДВФО;Республика Бурятия;6;6;7;7;0;0;0;0
ДВФО;Республика Бурятия;7;4;3;3;0;0;0;0
ДВФО;Республика Бурятия;8;11;25;25;0;0;0;2
ДВФО;Республика Бурятия;9;6;16;16;0;0;0;0
ДВФО;Республика Бурятия;10;2;17;17;0;0;0;0
ДВФО;Республика Бурятия;11;1;12;12;0;0;0;0
ДВФО;Республика Бурятия;12;17;21;21;0;0;0;0
ДВФО;Республика Бурятия;13;10;19;19;0;0;0;0
ДВФО;Республика Бурятия;14;9;37;37;0;0;0;0
ДВФО;Республика Бурятия;15;3;28;28;0;0;0;0
ДВФО;Республика Бурятия;16;7;55;55;0;0;0;0
ДВФО;Республика Бурятия;17;5;48;48;0;0;0;0
ДВФО;Республика Бурятия;18;2;46;45;1;0;0;0
ДВФО;Республика Бурятия;19;1;38;37;1;0;0;0
ДВФО;Республика Бурятия;20;2;33;33;0;0;0;0
ДВФО;Республика Бурятия;21;0;25;25;0;0;0;0
ДВФО;Республика Бурятия;22;2;22;22;0;0;0;0
ДВФО;Республика Бурятия;23;1;20;20;0;0;0;0
ДВФО;Республика Саха (Якутия);3;146;117;113;4;5;27;11
ДВФО;Республика Саха (Якутия);4;6;2;2;0;0;0;1
ДВФО;Республика Саха (Якутия);5;2;2;2;0;0;0;1
ДВФО;Республика Саха (Якутия);6;7;8;6;2;0;10;1
ДВФО;Республика Саха (Якутия);7;0;4;4;0;0;0;1
ДВФО;Республика Саха (Якутия);8;7;14;13;1;1;15;1
ДВФО;Республика Саха (Якутия);9;0;3;3;0;1;0;0
ДВФО;Республика Саха (Якутия);10;28;13;13;0;0;1;2
ДВФО;Республика Саха (Якутия);11;4;8;8;0;0;0;1
ДВФО;Республика Саха (Якутия);12;26;18;17;1;1;1;2
ДВФО;Республика Саха (Якутия);13;9;8;7;0;1;1;0
ДВФО;Республика Саха (Якутия);14;29;10;10;0;0;0;3
ДВФО;Республика Саха (Якутия);15;17;8;8;0;0;0;0
ДВФО;Республика Саха (Якутия);16;18;12;12;0;1;0;1
ДВФО;Республика Саха (Якутия);17;15;7;7;0;0;0;0
ДВФО;Республика Саха (Якутия);18;11;18;18;0;1;0;0
ДВФО;Республика Саха (Якутия);19;8;11;10;0;1;0;0
ДВФО;Республика Саха (Якутия);20;8;9;9;0;0;0;0
ДВФО;Республика Саха (Якутия);21;6;4;4;0;0;0;0
ДВФО;Республика Саха (Якутия);22;6;13;13;0;1;0;0
ДВФО;Республика Саха (Якутия);23;3;6;6;0;1;0;0
ДВФО;Сахалинская область;3;94;16;14;2;0;0;3
ДВФО;Сахалинская область;4;3;0;0;0;0;0;0
