FO_name;Subj_Name;Col_num;1;2;3;4;5;6
ДВФО;Амурская область;3;2;2;2;2;1;1
ДВФО;Еврейская автономная область;3;2;2;2;2;2;1
ДВФО;Забайкальский край;3;3;3;3;3;3;3
ДВФО;Камчатский край;3;8;8;7;8;4;4
ДВФО;Магаданская область;3;5;4;4;4;4;2
ДВФО;Приморский край;3;10;10;9;10;7;6
ДВФО;Республика Бурятия;3;2;2;2;2;2;1
ДВФО;Республика Саха (Якутия);3;9;8;8;8;6;4
ДВФО;Сахалинская область;3;17;17;17;16;16;15
ДВФО;Хабаровский край;3;42;39;39;39;35;26
ДВФО;Чукотский автономный округ;3;2;2;2;2;2;2
ПФО;Кировская область;3;19;19;17;19;16;12
ПФО;Нижегородская область;3;23;22;22;22;19;15
ПФО;Оренбургская область;3;39;39;38;38;34;21
ПФО;Пензенская область;3;28;28;28;26;20;15
ПФО;Пермский край;3;72;66;62;65;53;31
ПФО;Республика Башкортостан;3;9;8;7;8;7;3
ПФО;Республика Марий Эл;3;18;15;15;15;13;13
ПФО;Республика Мордовия;3;9;9;9;8;6;4
ПФО;Республика Татарстан;3;49;45;44;45;38;27
ПФО;Самарская область;3;132;116;111;106;82;50
ПФО;Саратовская область;3;16;16;16;16;16;13
ПФО;Удмуртская Республика;3;14;14;14;14;13;11
ПФО;Ульяновская область;3;25;21;21;18;17;10
ПФО;Чувашская Республика — Чувашия;3;12;10;10;10;10;6
СЗФО;Архангельская область;3;15;15;14;15;11;7
СЗФО;Вологодская область;3;28;26;26;26;22;14
СЗФО;Калининградская область;3;38;37;36;36;32;18
СЗФО;Ленинградская область;3;2;2;2;2;2;1
СЗФО;Мурманская область;3;7;7;7;7;6;5
СЗФО;Ненецкий автономный округ;3;0;0;0;0;0;0
СЗФО;Новгородская область;3;10;10;10;10;7;5
СЗФО;Псковская область;3;6;6;6;6;6;5
СЗФО;Республика Карелия;3;14;13;13;13;12;11
СЗФО;Республика Коми;3;15;13;12;13;9;8
СЗФО;Санкт-Петербург;3;51;51;51;51;46;42
СКФО;Кабардино-Балкарская Республика;3;27;24;22;21;22;15
СКФО;Карачаево-Черкесская Республика;3;1;1;1;1;1;1
СКФО;Республика Дагестан;3;3;3;3;3;2;2
СКФО;Республика Ингушетия;3;1;1;1;1;1;1
СКФО;Республика Северная Осетия — Алания;3;2;2;2;2;2;1
СКФО;Ставропольский край;3;19;18;16;17;17;11
СКФО;Чеченская Республика;3;1;1;1;1;1;1
СФО;Алтайский край;3;7;7;7;6;6;3
СФО;Иркутская область;3;9;9;9;9;9;5
СФО;Кемеровская область;3;14;13;13;13;12;9
СФО;Красноярский край;3;19;19;19;18;17;11
СФО;Новосибирская область;3;68;65;60;65;52;38
СФО;Омская область;3;40;37;34;34;20;10
СФО;Республика Алтай;3;3;3;2;3;3;2
СФО;Республика Тыва;3;1;1;1;1;1;1
СФО;Республика Хакасия;3;15;14;14;13;11;9
СФО;Томская область;3;4;4;4;4;4;3
УФО;Курганская область;3;20;18;18;16;12;4
УФО;Свердловская область;3;17;16;14;16;12;10
УФО;Тюменская область;3;48;48;46;46;34;27
УФО;Ханты-Мансийский автономный округ — Югра;3;15;15;14;14;15;4
УФО;Челябинская область;3;89;86;80;84;65;47
УФО;Ямало-Ненецкий автономный округ;3;19;16;16;16;15;9
ЦФО;Белгородская область;3;5;5;4;5;5;4
ЦФО;Брянская область;3;19;19;18;19;19;11
ЦФО;Владимирская область;3;4;4;4;4;3;2
ЦФО;Воронежская область;3;10;10;10;10;7;4
ЦФО;Ивановская область;3;3;2;1;2;2;1
ЦФО;Калужская область;3;22;22;20;21;15;15
ЦФО;Костромская область;3;10;10;10;10;10;8
ЦФО;Курская область;3;16;15;15;15;12;8
ЦФО;Липецкая область;3;10;10;10;8;8;8
ЦФО;Москва;3;84;86;86;85;77;64
ЦФО;Московская область;3;95;94;86;91;68;52
ЦФО;Орловская область;3;10;9;9;9;7;5
ЦФО;Рязанская область;3;9;9;9;9;9;7
ЦФО;Смоленская область;3;2;2;2;2;2;2
ЦФО;Тамбовская область;3;17;16;16;16;15;10
ЦФО;Тверская область;3;11;11;10;11;11;9
ЦФО;Тульская область;3;3;3;3;3;3;3
ЦФО;Ярославская область;3;19;18;17;17;14;11
ЮФО;Астраханская область;3;20;19;17;19;16;11
ЮФО;Волгоградская область;3;28;28;27;28;22;18
ЮФО;Краснодарский край;3;114;109;106;107;84;49
ЮФО;Республика Адыгея;3;9;8;8;6;8;6
ЮФО;Республика Калмыкия;3;3;2;2;2;2;2
ЮФО;Республика Крым;3;23;22;21;22;16;11
ЮФО;Ростовская область;3;58;55;55;54;49;29
ЮФО;Севастополь;3;0;0;0;0;0;0
